Title,Author,My_Review
The Alice Network,Kate Quinn,"Historical fiction about female spies in WWI, well-written tension"
The Roommate (Shameless #1),Rosie Danan,Just straight smut…
"Careless People: A Cautionary Tale of Power, Greed, and Lost Idealism",Sarah Wynn-Williams,Memoir exposing Facebook and its execs
Then She Was Gone,Lisa Jewell,"Thriller about a missing daughter that kept me on edge the whole time, very well-written characters"
"The Sympathizer (The Sympathizer, #1)",Viet Thanh Nguyen,"Historical fiction about a spy of the Vietnam war, meant to make you uncomfortable and achieved this easily"
The 7½ Deaths of Evelyn Hardcastle,Stuart Turton,"Thrilling murder mystery with multiple twists, finished in less than 1 day"
Bad Blood: Secrets and Lies in a Silicon Valley Startup,John Carreyrou,Written by the journalist who first exposed Elizabeth Holmes and Theranos! Super engaging and reads like a thriller.
Taiwan Travelogue,Yáng Shuāng-zǐ,Interesting peek into Taiwan under Japanese colonial rule + traditional Taiwanese food. Well-written characters and insight into power dynamics in relationships
Verity,Colleen Hoover,Will prob never read another Colleen Hoover book again…Thriller romance that is easy to skim
"Maybe You Should Talk to Someone: A Therapist, Her Therapist, and Our Lives Revealed",Lori Gottlieb,Memoir of a therapist who needs therapy herself. We learn about what it takes to transform our lives through her patients' stories and her own.
The Anxious Generation: How the Great Rewiring of Childhood Caused an Epidemic of Mental Illness,Jonathan Haidt,"Nonfiction research on how the rollback of play-based childhood and the rise of smart phones and internet access caused the current epidemic of mental illness of adolescents and teens. Interesting to note that I followed a lot of his suggestions: no smartphone until high school, no social media until 16, had time after elementary school to just run around and play in a friend's front yard"
What Does It Feel Like?,Sophie Kinsella,Autobiographical journal presented as fiction. Another glioblastoma diagnosis but with happier ending.
The God of the Woods,Liz    Moore,Historical fiction + thriller driven by the female characters.
That's Not My Name,Megan Lally,"Fast-paced, hair-raising thriller with an unexpected twist."
Here One Moment,Liane Moriarty,A psychic old lady who turns out not so psychic and the plane of passengers whose deaths she predicted.
The Overnight Guest,Heather Gudenkauf,Neatly packaged thriller with satisfying twists.
When Breath Becomes Air,Paul Kalanithi,Memoir of neurosurgeon diagnosed with stage 4 lung cancer at 40 when he's about to graduate residency. Beautiful writing (a bit too flowery for me) that makes you think about how to face death with integrity instead of fear.
Yeonnam-dong's Smiley Laundromat,Kim Jiyun,Warm and cozy stories about people helping each other and learning more about themselves in the process.
Welcome to the Hyunam-Dong Bookshop,Hwang Bo-Reum,Warm and comforting read about people taking small steps in pursuit of happiness.
Mina's Matchbox,Yōko Ogawa,"A bit odd…Like the title, felt like a match waiting to be lit but never is."
What My Bones Know,Stephanie Foo,Memoir about healing from complex-PTSD. Really well-written and structured.
Sweet Bean Paste,Durian Sukegawa,"""We were born in order to see and listen to the world."" Simple yet deep and charming character-driven story."
What It Means When a Man Falls from the Sky,Lesley Nneka Arimah,A bit creepy but intriguing short stories with strong Nigerian influence.
"Before We Forget Kindness (Before the Coffee Gets Cold, #5)",Toshikazu Kawaguchi,#5 in the Before the Coffee Gets Cold Series. Warm read as always.
I Want to Die but I Still Want to Eat Tteokbokki: Further Conversations with My Psychiatrist,Baek Se-hee,Sequel with similar issues but higher stakes. I thought the reflection essays were thoughtful and well-written.
The Travelling Cat Chronicles,Hiro Arikawa,"Surprisingly heartwarming, funny, and sentimental read from a very sassy cat's perspective."
Murder in Postscript (Lady of Letters #1),Mary  Winters,"Victorian England mystery, a times annoying and at times boring/unnecessarily convoluted. Only saving grace was the male love interest."
Educated,Tara Westover,"Listened as audiobook. Crazy life story, but generally frustrating to get through"
The Life Impossible,Matt Haig,"Skimmed most of it, couldn't get into the magic parts"
"Just for the Summer (Part of Your World, #3)",Abby Jimenez,Emily Henry-like romance. At times pretty funny but weaker emotions
Goodnight Tokyo,Atsuhiro Yoshida,12 interconnected short stories set in early morning Tokyo.
"Before Your Memory Fades (Before the Coffee Gets Cold, #3)",Toshikazu Kawaguchi,"#3 in the Before the Coffee Gets Cold Series. Main theme: If the world was ending tomorrow, would you choose happiness?"
"Before the Coffee Gets Cold (Before the Coffee Gets Cold, #1)",Toshikazu Kawaguchi,#1 in the series. Variety of stories that sets the stage for the future books.
James,Percival Everett,Adventures of Huckleberry Finn told from Jim's (James) perspective.
"Tales from the Cafe (Before the Coffee Gets Cold, #2)",Toshikazu Kawaguchi,#2 in the Before the Coffee Gets Cold Series. More background on the cafe staff. Less impactful customers.
The Funeral Cryer,Wenyan Lu,"Set in rural China with a pitiful, lonely, middle-aged woman who works as a funeral cryer."
"Before We Say Goodbye (Before the Coffee Gets Cold, #4)",Toshikazu Kawaguchi,#4 in the Before the Coffee Gets Cold series (ok to read out of order). Premise is one can go back in time but only for as long as it takes for coffee to get cold. This book was 4 short stories all about resolving regrets for not being able to say goodbye properly.
A Love Song for Ricki Wilde,Tia Williams,Romance with a little Harlem history and magic.
Hold My Girl,Charlene Carr,A unique premise of switched IVF embryos but hard to actually like any of the characters.
Everyone Is Watching,Heather Gudenkauf,Squid game-esque thriller.
I Hope This Finds You Well,Natalie Sue,Eleanor Oliphant-esque workplace drama. So-so character writing.
The Women,Kristin Hannah,"Historical fiction about a combat nurse who serves in the Vietnam War. Raw, gritty, heart-wrenching, exposes the ugly truths of war but also the unrivaled camaraderie and bravery of everyone who serves, tied together by the best writing I've read all year."
The Faculty Lounge,Jennifer Mathieu,"Funny, honest, and diverse cast of educators at a public Texas high school. Did not shy away from sensitive topics."
All the Lonely People,Mike Gayle,A Man Called Ove + Eleanor Oliphant twist set in Britain from perspective of a Jamaican immigrant.
Funny Story,Emily Henry,"Predictable romance plot and MCs, but the emotions were well written as usual."
The Girl on the Train,Paula Hawkins,"Thriller told from multiple perspectives, none of which you can trust. Couldn't put it down until the end."
The Good Sister,Sally Hepworth,"Twin sisters thriller, decent buildup of tension but a little bit obvious"
If You're Out There,Katy Loutzenhiser,Surprisingly decent mystery with a sprinkle of high school romance
The Fatal Folio (Cambridge Bookshop #3),Elizabeth Penney,Cozy murder mystery. Not really worth reading.
Bad Summer People,Emma Rosenblum,Rich people drama + a little murder mystery.
Wellness,Nathan  Hill,600 pages about 2 married people over time in nonchronological order. So much satire but also deeply sad and thought provoking.
Good Material,Dolly Alderton,"A deadbeat 35-year-old dude processing his breakup. Good writing, little to no cliches."
The Berry Pickers,Amanda    Peters,"How one horrible decision changes the lives of many. Well-written grief, anger, family, healing."
Small Things Like These,Claire Keegan,"Short, easy read. Set in Ireland so probably missed cultural/historical references."
The Island of Sea Women,Lisa See,Heart-wrenching historical fiction about the violent history of Jeju and haenyeo.
Maame,Jessica George,"Ghanian-British woman's coming of age. Deep, emotional, and funny at the right times."
The Rachel Incident,Caroline O'Donoghue,"Everybody's a hot mess, especially Rachel"
The Secret Book of Flora Lea,Patti Callahan Henry,"A little bit fairy tale, a little bit search for missing sister. Meh writing, I mainly just wanted to get to the end."
They Called Us Exceptional: And Other Lies That Raised Us,Prachi   Gupta,Intimate memoir of a dysfunctional Indian American family where author clearly has reflected a lot about the past
